Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_And_Relax,Luxury_Be_Spoilt,Do_Sports,Excitement_A_Challenge,Not_Exceed_Planned_Budget,Realise_Creativity,Fun_And_Entertainment,Good_Company,Health_and_Beauty,Free_And_Easy_Going,Entertainment_Facilities,Not_Care_About_Prices,Life_style_of_The _Local_People,Intense_Experience_of_Nature,Cosiness_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_Natural_Landscape,Cultural_Offers,Change_Of_Surroundings,Income_Doller_K,Expenditure_Doller_K
Female,34,2,small business owner,NSW,married,3.33,Q1,2.87,2.93,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,49,55
Female,29,7,professional,NSW,married,4.33,Q4,3.87,2.39,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,49,42
Male,66,,,QLD,married,3.87,Q3,3.80,2.63,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,50,49
Female,58,4,retired,NSW,married,4.57,Q4,3.80,3.07,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,50,56
Male,36,3,professional,WA,married,3.43,Q2,3.60,3.32,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,54,47
Male,28,6,labourer,VIC,single,3.00,Q1,3.40,3.80,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,54,54
Male,55,6,professional,NSW,separated or divorced,3.80,Q2,3.53,1.55,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,54,53
Female,36,3,Clerical or service worker,VIC,living with a partner,4.47,Q4,3.73,2.85,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,54,48
Male,33,4,manager or administrator,WA,single,3.33,Q1,3.40,3.36,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,54,52
Male,35,8,manager or administrator,VIC,single,4.07,Q3,3.93,3.47,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,54,42
Male,18,6,,NSW,single,4.00,Q3,2.80,2.63,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54,51
Male,65,6,retired,VIC,married,4.20,Q3,3.67,2.65,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,54,55
Male,25,6,labourer,NSW,married,4.00,Q3,3.53,2.93,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,54,41
Female,31,3,small business owner,QLD,married,4.57,Q4,3.80,3.48,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54,44
Female,37,2,sales,QLD,married,4.20,Q3,3.27,2.30,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,54,57
Male,33,6,professional,QLD,married,4.13,Q3,3.80,2.73,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,54,46
Male,59,,,WA,married,3.80,Q2,4.13,2.97,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,57,58
Female,64,4,transport worker,VIC,widowed,4.50,Q4,3.20,3.08,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,57,55
Female,35,6,home-duties,WA,married,3.27,Q1,2.67,2.14,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,58,60
Male,37,2,labourer,QLD,married,3.97,Q3,3.40,3.21,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,58,46
Male,76,,professional,Tas,married,3.30,Q1,3.33,1.53,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,59,55
Male,55,8,professional,VIC,married,3.17,Q1,3.87,2.93,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,59,41
Male,54,8,professional,NSW,living with a partner,4.50,Q4,4.40,3.96,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,60,49
Male,49,1,manager or administrator,VIC,married,3.63,Q2,3.33,2.34,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,60,40
Female,55,7,home-duties,VIC,married,3.27,Q1,4.00,2.15,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,60,42
Male,63,2,retired,NSW,married,3.47,Q2,3.33,2.16,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,60,52
Female,69,4,retired,VIC,widowed,3.77,Q2,4.00,2.76,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,60,47
Female,46,4,professional,NSW,single,4.23,Q4,4.27,4.13,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,60,50
Female,61,2,manager or administrator,NSW,separated or divorced,3.83,Q3,3.07,3.00,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,61,42
Male,28,7,manager or administrator,NSW,living with a partner,3.73,Q2,3.93,2.80,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,61,49
Female,33,7,professional,NSW,single,4.47,Q4,3.80,3.27,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,62,41
Female,30,3,Clerical or service worker,VIC,married,3.60,Q2,3.80,3.33,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,62,48
Male,50,7,professional,SA,single,4.03,Q3,2.93,3.08,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,62,59
Male,23,7,professional,VIC,single,3.93,Q3,4.13,2.37,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,62,55
Female,58,1,home-duties,NSW,separated or divorced,4.03,Q3,3.07,1.73,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,62,56
Female,35,8,professional,WA,married,3.07,Q1,3.47,,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,62,42
Male,22,6,sales,VIC,single,2.93,Q1,2.33,2.65,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,63,50
Male,39,3,tradesperson,QLD,married,3.97,Q3,3.93,2.87,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,63,46
Female,35,3,professional,NSW,living with a partner,4.20,Q3,3.67,2.10,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,63,43
Male,21,7,sales,NSW,single,3.43,Q2,4.13,2.15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,63,48
Male,62,8,professional,VIC,married,3.63,Q2,2.93,2.57,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,63,52
Male,24,8,professional,NSW,single,3.27,Q1,3.40,2.29,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,63,54
Male,49,4,Clerical or service worker,NSW,married,4.10,Q3,3.00,3.58,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,64,42
Female,41,1,sales,SA,married,4.13,Q3,4.33,3.17,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,64,46
Male,21,6,unemployed,NSW,single,3.60,Q2,4.07,2.93,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,65,48
Male,37,6,labourer,SA,married,1.00,Q1,5.00,2.03,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,65,50
Female,28,6,professional,ACT,married,3.97,Q3,3.33,2.30,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,65,43
Male,59,8,professional,SA,single,3.87,Q3,3.60,1.85,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,65,59
Male,37,7,manager or administrator,NSW,married,3.67,Q2,3.73,2.73,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,67,43
Female,31,6,Clerical or service worker,NSW,married,3.93,Q3,4.27,3.23,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,67,57
Male,59,6,retired,NSW,married,4.07,Q3,3.40,3.25,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,67,56
Female,42,3,Clerical or service worker,WA,married,3.13,Q1,3.27,2.54,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,67,40
Female,52,2,small business owner,ACT,married,4.10,Q3,4.20,2.71,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,69,58
Female,61,1,labourer,WA,separated or divorced,4.73,Q4,4.60,3.88,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,69,91
Female,60,3,home-duties,SA,married,4.37,Q4,4.20,3.89,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,70,29
Male,30,7,professional,WA,married,3.83,Q3,3.20,2.79,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,70,77
Female,35,7,sales,VIC,single,2.27,Q1,3.27,2.35,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,71,35
Male,39,7,professional,WA,single,3.07,Q1,4.07,2.42,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,71,95
Male,36,8,manager or administrator,WA,married,2.00,Q1,2.47,1.60,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,71,11
Male,25,7,professional,NSW,married,3.90,Q3,4.33,3.03,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,71,75
Female,31,1,home-duties,VIC,living with a partner,4.30,Q4,3.40,3.00,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,71,9
Male,35,8,professional,QLD,married,3.77,Q2,3.60,1.83,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,71,75
Male,40,8,professional,QLD,married,4.10,Q3,3.93,2.87,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,72,34
Male,58,1,retired,QLD,married,4.97,Q4,4.27,3.68,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,72,71
Female,65,3,retired,NSW,married,2.57,Q1,4.47,2.00,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,73,5
Male,59,4,manager or administrator,NSW,married,2.80,Q1,2.60,2.22,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,73,88
Female,41,3,home-duties,QLD,married,3.53,Q2,3.40,3.00,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,73,7
Female,45,1,home-duties,SA,separated or divorced,4.23,Q4,4.07,3.50,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,73,73
Female,49,1,sales,WA,living with a partner,3.67,Q2,3.47,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,74,10
Female,23,7,professional,WA,living with a partner,2.80,Q1,2.27,1.97,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,74,72
Male,58,7,small business owner,NSW,separated or divorced,3.47,Q2,3.33,2.30,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,75,5
Female,61,1,home-duties,QLD,married,4.03,Q3,3.60,3.69,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,75,93
Female,40,4,professional,VIC,living with a partner,4.10,Q3,3.13,3.95,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,76,40
Female,33,2,unemployed,NSW,married,5.00,Q4,2.53,3.63,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,76,87
Male,59,1,retired,QLD,married,3.10,Q1,2.93,2.83,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,77,12
Male,54,7,manager or administrator,VIC,married,4.30,Q4,4.13,3.26,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,77,97
Male,27,7,manager or administrator,Tas,single,2.70,Q1,2.27,3.26,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,77,36
Male,41,8,sales,VIC,married,3.13,Q1,3.07,2.37,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,77,74
Female,32,7,home-duties,NSW,married,3.63,Q2,4.07,2.68,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,78,22
Female,41,8,professional,VIC,single,4.17,Q3,4.67,4.19,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,78,90
Male,50,7,Clerical or service worker,NSW,married,4.13,Q3,3.53,2.88,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,78,17
Male,21,7,sales,VIC,single,3.80,Q2,3.80,2.28,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,78,88
Male,45,6,transport worker,QLD,married,4.03,Q3,3.67,2.70,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,78,20
Male,71,1,retired,Tas,living with a partner,3.80,Q2,3.00,2.50,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,78,76
Male,37,8,professional,NSW,married,3.97,Q3,3.87,4.19,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,78,16
Female,40,2,Clerical or service worker,NSW,married,3.33,Q1,3.87,2.21,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,78,89
